"","dataset","batch","organism","cultivar","gm","zadok_scale","intermediate_age","high_level_age","low_level_tissue","intermediate_tissue","high_level_tissue","treatment","library"
"SAMEA7109487","floral_meristem",179,"Hordeum vulgare","Bowman","wt",22,"Tillering","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109488","floral_meristem",180,"Hordeum vulgare","Bowman","wt",22,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109489","floral_meristem",160,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109490","floral_meristem",161,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109491","floral_meristem",168,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109492","floral_meristem",169,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109511","floral_meristem",145,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109512","floral_meristem",146,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","spikelet_ridge","flower_meristem","inflorescence","control","paired"
"SAMEA7109513","floral_meristem",147,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","leaf_ridge","shoot_meristem","shoot","control","paired"
"SAMEA7109514","floral_meristem",148,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109515","floral_meristem",149,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","central_spikelet","central_spikelet","inflorescence","control","paired"
"SAMEA7109516","floral_meristem",150,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","lateral_spikelet","lateral_spikelet","inflorescence","control","paired"
"SAMEA7109517","floral_meristem",151,"Hordeum vulgare","Bowman","wt",20,"Tillering","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109518","floral_meristem",152,"Hordeum vulgare","Bowman","wt",20,"Tillering","Vegetative","central_spikelet","central_spikelet","inflorescence","control","paired"
"SAMEA7109519","floral_meristem",153,"Hordeum vulgare","Bowman","wt",20,"Tillering","Vegetative","lateral_spikelet","lateral_spikelet","inflorescence","control","paired"
"SAMEA7109520","floral_meristem",154,"Hordeum vulgare","Bowman","wt",22,"Tillering","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109521","floral_meristem",155,"Hordeum vulgare","Bowman","wt",22,"Tillering","Vegetative","central_spikelet","central_spikelet","inflorescence","control","paired"
"SAMEA7109522","floral_meristem",156,"Hordeum vulgare","Bowman","wt",22,"Tillering","Vegetative","lateral_spikelet","lateral_spikelet","inflorescence","control","paired"
"SAMEA7109523","floral_meristem",157,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109524","floral_meristem",162,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","central_spikelet","central_spikelet","inflorescence","control","paired"
"SAMEA7109525","floral_meristem",159,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","lateral_spikelet","lateral_spikelet","inflorescence","control","paired"
"SAMEA7109526","floral_meristem",167,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109527","floral_meristem",129,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","central_spikelet","central_spikelet","inflorescence","control","paired"
"SAMEA7109528","floral_meristem",130,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","lateral_spikelet","lateral_spikelet","inflorescence","control","paired"
"SAMEA7109547","floral_meristem",141,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109548","floral_meristem",142,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109549","floral_meristem",143,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109550","floral_meristem",144,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109551","floral_meristem",173,"Hordeum vulgare","Bowman","wt",20,"Tillering","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109552","floral_meristem",174,"Hordeum vulgare","Bowman","wt",20,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109553","floral_meristem",179,"Hordeum vulgare","Bowman","wt",22,"Tillering","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109554","floral_meristem",180,"Hordeum vulgare","Bowman","wt",22,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109555","floral_meristem",160,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109556","floral_meristem",161,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109557","floral_meristem",168,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109558","floral_meristem",169,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109559","floral_meristem",145,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109560","floral_meristem",146,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","spikelet_ridge","flower_meristem","inflorescence","control","paired"
"SAMEA7109561","floral_meristem",147,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","leaf_ridge","shoot_meristem","shoot","control","paired"
"SAMEA7109562","floral_meristem",148,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109563","floral_meristem",149,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","central_spikelet","central_spikelet","inflorescence","control","paired"
"SAMEA7109564","floral_meristem",150,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","lateral_spikelet","lateral_spikelet","inflorescence","control","paired"
"SAMEA7109567","floral_meristem",153,"Hordeum vulgare","Bowman","wt",20,"Tillering","Vegetative","lateral_spikelet","lateral_spikelet","inflorescence","control","paired"
"SAMEA7109568","floral_meristem",154,"Hordeum vulgare","Bowman","wt",22,"Tillering","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109569","floral_meristem",155,"Hordeum vulgare","Bowman","wt",22,"Tillering","Vegetative","central_spikelet","central_spikelet","inflorescence","control","paired"
"SAMEA7109570","floral_meristem",156,"Hordeum vulgare","Bowman","wt",22,"Tillering","Vegetative","lateral_spikelet","lateral_spikelet","inflorescence","control","paired"
"SAMEA7109571","floral_meristem",157,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109572","floral_meristem",162,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","central_spikelet","central_spikelet","inflorescence","control","paired"
"SAMEA7109573","floral_meristem",159,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","lateral_spikelet","lateral_spikelet","inflorescence","control","paired"
"SAMEA7109574","floral_meristem",167,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109575","floral_meristem",129,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","central_spikelet","central_spikelet","inflorescence","control","paired"
"SAMEA7109576","floral_meristem",130,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","lateral_spikelet","lateral_spikelet","inflorescence","control","paired"
"SAMEA7109595","floral_meristem",141,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109596","floral_meristem",142,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109597","floral_meristem",143,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109598","floral_meristem",144,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109599","floral_meristem",173,"Hordeum vulgare","Bowman","wt",20,"Tillering","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109600","floral_meristem",174,"Hordeum vulgare","Bowman","wt",20,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109601","floral_meristem",179,"Hordeum vulgare","Bowman","wt",22,"Tillering","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109602","floral_meristem",180,"Hordeum vulgare","Bowman","wt",22,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109603","floral_meristem",160,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109604","floral_meristem",161,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109605","floral_meristem",168,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109606","floral_meristem",169,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109607","floral_meristem",145,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109608","floral_meristem",146,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","spikelet_ridge","flower_meristem","inflorescence","control","paired"
"SAMEA7109609","floral_meristem",147,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","leaf_ridge","shoot_meristem","shoot","control","paired"
"SAMEA7109610","floral_meristem",148,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109611","floral_meristem",149,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","central_spikelet","central_spikelet","inflorescence","control","paired"
"SAMEA7109612","floral_meristem",150,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","lateral_spikelet","lateral_spikelet","inflorescence","control","paired"
"SAMEA7109613","floral_meristem",151,"Hordeum vulgare","Bowman","wt",20,"Tillering","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109614","floral_meristem",152,"Hordeum vulgare","Bowman","wt",20,"Tillering","Vegetative","central_spikelet","central_spikelet","inflorescence","control","paired"
"SAMEA7109615","floral_meristem",153,"Hordeum vulgare","Bowman","wt",20,"Tillering","Vegetative","lateral_spikelet","lateral_spikelet","inflorescence","control","paired"
"SAMEA7109616","floral_meristem",154,"Hordeum vulgare","Bowman","wt",22,"Tillering","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109617","floral_meristem",155,"Hordeum vulgare","Bowman","wt",22,"Tillering","Vegetative","central_spikelet","central_spikelet","inflorescence","control","paired"
"SAMEA7109618","floral_meristem",156,"Hordeum vulgare","Bowman","wt",22,"Tillering","Vegetative","lateral_spikelet","lateral_spikelet","inflorescence","control","paired"
"SAMEA7109619","floral_meristem",157,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109620","floral_meristem",162,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","central_spikelet","central_spikelet","inflorescence","control","paired"
"SAMEA7109621","floral_meristem",159,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","lateral_spikelet","lateral_spikelet","inflorescence","control","paired"
"SAMEA7109622","floral_meristem",167,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109623","floral_meristem",129,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","central_spikelet","central_spikelet","inflorescence","control","paired"
"SAMEA7109624","floral_meristem",130,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","lateral_spikelet","lateral_spikelet","inflorescence","control","paired"
"SAMEA7109643","floral_meristem",141,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109644","floral_meristem",142,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109645","floral_meristem",143,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109646","floral_meristem",144,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109647","floral_meristem",173,"Hordeum vulgare","Bowman","wt",20,"Tillering","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109648","floral_meristem",174,"Hordeum vulgare","Bowman","wt",20,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109649","floral_meristem",179,"Hordeum vulgare","Bowman","wt",22,"Tillering","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109650","floral_meristem",180,"Hordeum vulgare","Bowman","wt",22,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109651","floral_meristem",160,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109652","floral_meristem",161,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109653","floral_meristem",168,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","rachis","rachis","inflorescence","control","paired"
"SAMEA7109654","floral_meristem",169,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMEA7109655","floral_meristem",165,"Hordeum vulgare","Bowman","wt",38,"Floret_development","Reproductive","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109656","floral_meristem",165,"Hordeum vulgare","Bowman","wt",38,"Floret_development","Reproductive","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109657","floral_meristem",165,"Hordeum vulgare","Bowman","wt",38,"Floret_development","Reproductive","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109658","floral_meristem",165,"Hordeum vulgare","Bowman","wt",38,"Floret_development","Reproductive","inflorescence_meristem","flower_meristem","inflorescence","control","paired"
"SAMEA7109663","floral_meristem",164,"Hordeum vulgare","Bowman","wt",11,"Leaf_development","Vegetative","apex","shoot_meristem","shoot","control","paired"
"SAMEA7109664","floral_meristem",164,"Hordeum vulgare","Bowman","wt",11,"Leaf_development","Vegetative","apex","shoot_meristem","shoot","control","paired"
"SAMEA7109665","floral_meristem",164,"Hordeum vulgare","Bowman","wt",11,"Leaf_development","Vegetative","apex","shoot_meristem","shoot","control","paired"
"SAMEA7109666","floral_meristem",175,"Hordeum vulgare","Bowman","wt",13,"Leaf_development","Vegetative","leaf_blade","leaf","shoot","control","paired"
"SAMEA7109667","floral_meristem",175,"Hordeum vulgare","Bowman","wt",13,"Leaf_development","Vegetative","leaf_blade","leaf","shoot","control","paired"
"SAMEA7109669","floral_meristem",175,"Hordeum vulgare","Bowman","wt",13,"Leaf_development","Vegetative","leaf_blade","leaf","shoot","control","paired"
"SAMEA7109670","floral_meristem",181,"Hordeum vulgare","Bowman","wt",10,"Germination","Seedling","root_meristematic_zone","root_meristem","root","control","paired"
"SAMEA7109671","floral_meristem",181,"Hordeum vulgare","Bowman","wt",10,"Germination","Seedling","root_meristematic_zone","root_meristem","root","control","paired"
"SAMEA7109672","floral_meristem",181,"Hordeum vulgare","Bowman","wt",10,"Germination","Seedling","root_meristematic_zone","root_meristem","root","control","paired"
"SAMN04549453","spot_blotch",122,"Hordeum vulgare","Morex","wt",10,"Germination","Seedling","leaf","leaf","shoot","control","paired"
"SAMN04549454","spot_blotch",123,"Hordeum vulgare","Morex","wt",10,"Germination","Seedling","leaf","leaf","shoot","control","paired"
"SAMN04549455","spot_blotch",124,"Hordeum vulgare","Morex","wt",10,"Germination","Seedling","leaf","leaf","shoot","control","paired"
"SAMN06054057","grain_development",92,"Hordeum vulgare","Clipper","wt",70,"Seed_development","Grain_development","grain","grain","grain","control","paired"
"SAMN06054058","grain_development",92,"Hordeum vulgare","Clipper","wt",70,"Seed_development","Grain_development","grain","grain","grain","control","paired"
"SAMN06054103","grain_development",90,"Hordeum vulgare","Clipper","wt",73,"Seed_development","Grain_development","grain","grain","grain","control","paired"
"SAMN06054104","grain_development",90,"Hordeum vulgare","Clipper","wt",73,"Seed_development","Grain_development","grain","grain","grain","control","paired"
"SAMN06054105","grain_development",89,"Hordeum vulgare","Clipper","wt",75,"Seed_development","Grain_development","grain","grain","grain","control","paired"
"SAMN06054106","grain_development",89,"Hordeum vulgare","Clipper","wt",75,"Seed_development","Grain_development","grain","grain","grain","control","paired"
"SAMN06054107","grain_development",91,"Hordeum vulgare","Clipper","wt",77,"Seed_development","Grain_development","grain","grain","grain","control","paired"
"SAMN06054108","grain_development",91,"Hordeum vulgare","Clipper","wt",77,"Seed_development","Grain_development","grain","grain","grain","control","paired"
"SAMN08368816","phosphorus_starvation",99,"Hordeum vulgare","GN42","wt",10,"Germination","Seedling","leaf","leaf","shoot","control","paired"
"SAMN08368817","phosphorus_starvation",99,"Hordeum vulgare","GN42","wt",10,"Germination","Seedling","leaf","leaf","shoot","control","paired"
"SAMN08368818","phosphorus_starvation",99,"Hordeum vulgare","GN42","wt",10,"Germination","Seedling","leaf","leaf","shoot","control","paired"
"SAMN08368843","phosphorus_starvation",100,"Hordeum vulgare","GN121","wt",13,"Leaf_development","Vegetative","root","root_mix","root","control","paired"
"SAMN08368844","phosphorus_starvation",100,"Hordeum vulgare","GN121","wt",13,"Leaf_development","Vegetative","root","root_mix","root","control","paired"
"SAMN08368845","phosphorus_starvation",100,"Hordeum vulgare","GN121","wt",13,"Leaf_development","Vegetative","root","root_mix","root","control","paired"
"SAMN08368846","phosphorus_starvation",94,"Hordeum vulgare","GN121","wt",13,"Leaf_development","Vegetative","leaf","leaf","shoot","control","paired"
"SAMN08368847","phosphorus_starvation",94,"Hordeum vulgare","GN121","wt",13,"Leaf_development","Vegetative","leaf","leaf","shoot","control","paired"
"SAMN08368848","phosphorus_starvation",94,"Hordeum vulgare","GN121","wt",13,"Leaf_development","Vegetative","leaf","leaf","shoot","control","paired"
"SAMN08368849","phosphorus_starvation",96,"Hordeum vulgare","GN121","wt",10,"Germination","Seedling","root","root_mix","root","control","paired"
"SAMN08368850","phosphorus_starvation",96,"Hordeum vulgare","GN121","wt",10,"Germination","Seedling","root","root_mix","root","control","paired"
"SAMN08368851","phosphorus_starvation",96,"Hordeum vulgare","GN121","wt",10,"Germination","Seedling","root","root_mix","root","control","paired"
"SAMN16435661","spike_determinancy",184,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMN16435662","spike_determinancy",184,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMN16435663","spike_determinancy",184,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMN16435664","spike_determinancy",184,"Hordeum vulgare","Bowman","wt",16,"Leaf_development","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMN16435672","spike_determinancy",187,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMN16435673","spike_determinancy",187,"Hordeum vulgare","Bowman","wt",18,"Leaf_development","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMN16435682","spike_determinancy",190,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMN16435683","spike_determinancy",190,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMN16435684","spike_determinancy",190,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"SAMN16435685","spike_determinancy",190,"Hordeum vulgare","Bowman","wt",24,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
