"","dataset","batch","organism","cultivar","gm","zadok_scale","intermediate_age","high_level_age","low_level_tissue","intermediate_tissue","high_level_tissue","treatment","library"
"ERR1457193","developmental_stages",38,"Hordeum vulgare","Morex","wt",3,"Germination","Seedling","embryo","radicle","root","control","paired"
"ERR1457195","developmental_stages",39,"Hordeum vulgare","Morex","wt",11,"Leaf_development","Vegetative","root","root_mix","root","control","paired"
"ERR1457196","developmental_stages",39,"Hordeum vulgare","Morex","wt",11,"Leaf_development","Vegetative","root","root_mix","root","control","paired"
"ERR1457197","developmental_stages",40,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","grain","grain","grain","control","paired"
"ERR1457198","developmental_stages",40,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","grain","grain","grain","control","paired"
"ERR1457199","developmental_stages",40,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","grain","grain","grain","control","paired"
"ERR1457200","developmental_stages",41,"Hordeum vulgare","Morex","wt",11,"Leaf_development","Vegetative","shoot","shoot_mix","shoot","control","paired"
"ERR1457201","developmental_stages",41,"Hordeum vulgare","Morex","wt",11,"Leaf_development","Vegetative","shoot","shoot_mix","shoot","control","paired"
"ERR1457202","developmental_stages",41,"Hordeum vulgare","Morex","wt",11,"Leaf_development","Vegetative","shoot","shoot_mix","shoot","control","paired"
"ERR1457203","developmental_stages",42,"Hordeum vulgare","Morex","wt",31,"Stem_elongation","Reproductive","spike","flower_mix","inflorescence","control","paired"
"ERR1457204","developmental_stages",42,"Hordeum vulgare","Morex","wt",31,"Stem_elongation","Reproductive","spike","flower_mix","inflorescence","control","paired"
"ERR1457205","developmental_stages",42,"Hordeum vulgare","Morex","wt",31,"Stem_elongation","Reproductive","spike","flower_mix","inflorescence","control","paired"
"ERR1457206","developmental_stages",43,"Hordeum vulgare","Morex","wt",26,"Tillering","Vegetative","leaf","leaf","shoot","control","paired"
"ERR1457207","developmental_stages",43,"Hordeum vulgare","Morex","wt",26,"Tillering","Vegetative","leaf","leaf","shoot","control","paired"
"ERR1457208","developmental_stages",43,"Hordeum vulgare","Morex","wt",26,"Tillering","Vegetative","leaf","leaf","shoot","control","paired"
"ERR1457209","developmental_stages",44,"Hordeum vulgare","Morex","wt",16,"Leaf_development","Vegetative","spike","flower_mix","inflorescence","control","paired"
"ERR1457210","developmental_stages",44,"Hordeum vulgare","Morex","wt",16,"Leaf_development","Vegetative","spike","flower_mix","inflorescence","control","paired"
"ERR1457211","developmental_stages",44,"Hordeum vulgare","Morex","wt",16,"Leaf_development","Vegetative","spike","flower_mix","inflorescence","control","paired"
"ERR1457215","developmental_stages",46,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","lemma","bract_like_leaflet","inflorescence","control","paired"
